"Item Name","Level","Description","Gil","Stock","Rate"
"3-drawer almirah","0","","27000","0","0.269389"
"6-drawer almirah","0","","10000","2","0.270681"
"9-drawer almirah","0","","20000","1","1.48739"
"abaia","0","","10000","0","0.265689"
"absorbing shield","71","[Sub] All Races

LV 71 WAR WHM RDM THF PLD BST SAM","10000","0","0.0227285"
"abtal boots","59","[Feet] All Races

LV 59 WAR PLD DRK BST SAM","600000","0","0"
"abtal dastanas","59","[Hands] All Races

LV 59 WAR PLD DRK BST SAM","350000","0","0.0151508"
"abtal jawshan","59","[Body] All Races

LV 59 WAR PLD DRK BST SAM","900000","0","0"
"abtal turban","59","[Head] All Races

LV 59 WAR PLD DRK BST SAM","200000","0","0.0254637"
"abtal zerehs","59","[Legs] All Races

LV 59 WAR PLD DRK BST SAM","200000","0","0.0193873"
"acantha shavers","69","[Main] All Races
DPS: 433 
LV 69 WAR MNK BST NIN PUP","10000","0","0.155044"
"accelerator","0","","10000","5","0.0499906"
"accelerator II","0","","20000","2","0.794154"
"accelerator II x12","0","","1000000","0","0"
"accelerator x12","0","","55000","0","0"
"accord hat","77","[Head] All Races

LV 77 SMN","70000","3","0"
"accura cape","51","[Back] All Races

LV 51 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","3000","0","0.0655297"
"accura cape +1","51","[Back] All Races

LV 51 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","100000","0","0"
"accurate earring","52","[Ear] All Races

LV 52 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","100000","3","0.00993122"
"accursed belt","86","[Waist] All Races

LV 86 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP","10000","0","1.41681"
"ace of batons card","0","","533000000","0","0"
"ace of coins card","0","","2000","1","0"
"ace of cups card","0","","10000","0","0"
"ace of swords card","0","","10000","0","0"
"acerbic sash","76","[Waist] All Races

LV 76 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","20000","0","0.0543713"
"ace's locket","74","[Neck] All Races

LV 74 DRK SAM DRG","50000","2","0.0132143"
"Aceso's choker","80","[Neck] All Races

LV 80 WHM","40000","4","0.150486"
"acheron shield","75","[Sub] All Races

LV 75 WAR RDM DRK BST BLU","10000","0","0.548135"
"acheron shield +1","75","[Sub] All Races

LV 75 WAR RDM DRK BST BLU","300000","0","0"
"acid baselard","40","[Main] All Races
DPS: 452 
LV 40 WAR BLM RDM THF PLD BRD NIN SCH GEO","5000","0","0.511515"
"acid bolt","15","[Ammo] All Races
DPS: 656 
LV 15 WAR THF DRK RNG","20000000","0","0"
"acid bolt quiver","0","","3000","3","2.63724"
"acid bolt quiver x12","0","","30000","0","3.32565"
"acid bolt x99","15","[Ammo] All Races
DPS: 656 
LV 15 WAR THF DRK RNG","3500","1","2.9867"
"acid claws","41","[Main] All Races
DPS: 235 
LV 41 THF DRK NIN","25000","1","0.0824244"
"acid dagger","23","[Main] All Races
DPS: 328 
LV 23 WAR BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN SCH GEO","10000","0","0.111805"
"acid knife","31","[Main] All Races
DPS: 369 
LV 31 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","20000","2","0.627166"
"acid kukri","34","[Main] All Races
DPS: 420 
LV 34 WAR THF DRK RNG NIN COR PUP DNC","30000","2","0.642383"
"acorn","0","","1000","0","0.17625"
"acorn cookie","0","","2000","1","0.0806928"
"acorn cookie x99","0","","5000","0","0.0812367"
"acorn x12","0","","2000","0","0.182032"
"acrobat's belt","18","[Waist] All Races

LV 18 WAR RDM PLD DRK BST RNG SAM DRG BLU RUN","10000","0","0"
"adaman barbuta","73","[Head] All Races

LV 73 WAR PLD","30000","0","0.135268"
"adaman bullet","98","[Ammo] All Races
DPS: 3175 
LV 98 RNG","10000","0","0"
"adaman bullet pouch","0","","15000","0","2.31197"
"adaman bullet pouch x12","0","","1550000","0","0.301279"
"adaman bullet x99","98","[Ammo] All Races
DPS: 3175 
LV 98 RNG","80000","0","5.16136"
"adaman chain","0","","20000","4","2.14949"
"adaman chain x12","0","","200000","0","0"
"adaman cuirass","73","[Body] All Races

LV 73 WAR PLD","50000","0","0.190385"
"adaman cuisses","73","[Legs] All Races

LV 73 WAR PLD","50000","1","0.174585"
"adaman gauntlets","73","[Hands] All Races

LV 73 WAR PLD","40000","0","0.134652"
"adaman ingot","0","","20000","17","6.18729"
"adaman ingot x12","0","","100000","20","0.653511"
"adaman kilij","73","[Main] All Races
DPS: 1042 
LV 73 BLU","235000","2","0.0727046"
"adaman kilij +1","73","[Main] All Races
DPS: 1100 
LV 73 BLU","1100000","0","0"
"adaman kris","70","[Main] All Races
DPS: 719 
LV 70 BLM SMN SCH GEO","50000","0","0"
"adaman kris +1","70","[Main] All Races
DPS: 770 
LV 70 BLM SMN SCH GEO","0","0","0"
"adaman nugget","0","","1650","1","2.30524"
"adaman nugget x12","0","","80000","0","0.0252548"
"adaman sabatons","73","[Feet] All Races

LV 73 WAR PLD","30000","1","0.102437"
"adaman sainti","70","[Main] All Races
DPS: 433 
LV 70 PUP","300000","3","0.0733157"
"adaman sheet","0","","20000","5","0.522646"
"adaman sheet x12","0","","400000","0","0.0701324"
"adamantoise shell","0","","10000","2","0.944809"
"adamantoise shell x12","0","","150000","0",""
"Adapa's slacks","78","[Legs] All Races

LV 78 WHM BLM RDM BRD SMN GEO","30000","1","0.308022"
"adargas","47","[Main] All Races
DPS: 265 
LV 47 MNK PUP","20000","0","0.150988"
"adargas +1","47","[Main] All Races
DPS: 291 
LV 47 MNK PUP","200500","0","0.0171203"
"adder jambiya","72","[Main] All Races
DPS: 985 
LV 72 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","30000","0","0.421249"
"adder jambiya +1","72","[Main] All Races
DPS: 1052 
LV 72 WAR THF PLD DRK BRD RNG SAM NIN DRG COR PUP DNC","400000","0","0"
"adept's rope","42","[Waist] All Races

LV 42 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","3000","0","0.109591"
"Adloquium schema","0","","10000","12","2.49919"
"admiral's shield","69","[Sub] All Races

LV 69 WAR PLD DRK","100000","0","0.0235439"
"adroit earring","67","[Ear] All Races

LV 67 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","99000","0","0.0369646"
"adroit earring +1","67","[Ear] All Races

LV 67 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","900000","0","0"
"adroit ring","72","[Finger] All Races

LV 72 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","47500","0","0.0607055"
"adroit ring +1","72","[Finger] All Races

LV 72 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","100000","0","0"
"adventurer coupon","0","","550","5","0.145057"
"Aega's doublet","32","[Body] All Races

LV 32 MNK WHM RDM THF PLD BST BRD RNG DRG SMN BLU COR PUP DNC RUN","20000","2","0.428498"
"aegis ring","38","[Finger] All Races

LV 38 MNK WHM RDM THF BST BRD RNG SAM NIN BLU COR DNC RUN","5000","1","0.0237416"
"aenotherus mantle","79","[Back] All Races

LV 79 WHM BLM RDM PLD DRK SMN BLU SCH GEO RUN","100000","2","0.301766"
"aero mufflers","46","[Hands] All Races

LV 46 WAR PLD DRK BST SAM NIN","150000","1","0"
"affinity earring","40","[Ear] All Races

LV 40 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","10000","1","0.0831341"
"affronter cuisses","92","[Legs] All Races

LV 92 PLD DRK","40000","3","0.293701"
"agaricus mushroom","0","","10000","8","5.78787"
"agaricus mushroom x12","0","","300000","1",""
"agile gorget","40","[Neck] All Races

LV 40 MNK WHM RDM THF PLD BST BRD DRG SMN BLU COR PUP DNC GEO RUN","30000","2","0.0308917"
"agile mantle","40","[Back] All Races

LV 40 WAR THF RNG SAM NIN","20000","0","0"
"agility potion","0","","1000","1","0.418792"
"Ahriman wing","0","","5000","1","4.23455"
"Ahriman wing x12","0","","180000","0",""
"Aht Urhgan brass ingot","0","","10000","3","1.13451"
"Aht Urhgan brass ingot x12","0","","40000","0","0"
"Aht Urhgan brass sheet","0","","100000","2","0"
"Aht Urhgan brass sheet x12","0","","100000","0","0"
"Aht Urhgan dart","65","[Ammo] All Races
DPS: 821 
LV 65 WAR RDM THF DRK NIN COR RUN","1","0","0"
"Aht Urhgan dart x99","65","[Ammo] All Races
DPS: 821 
LV 65 WAR RDM THF DRK NIN COR RUN","7000","0","0.0150523"
"ahtapot","0","","5000","8","0.571328"
"Aife's bow","94","[Ranged] All Races
DPS: 1178 
LV 94 RNG","100000","0","0"
"Aife's mantle","94","[Back] All Races

LV 94 WAR MNK RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","40000","1","0.253688"
"Aife's medal","94","[Neck] All Races

LV 94 WAR MNK WHM BLM RDM THF PLD DRK BST BRD RNG SAM NIN DRG SMN BLU COR PUP DNC SCH GEO RUN","30000","2","0.0975936"
"aikido koshita","50","[Legs] All Races

LV 50 MNK","20000","1","0.818891"
"aiming bracelets","51","[Hands] All Races

LV 51 MNK WHM BLM RDM THF DRK BRD RNG SMN BLU COR PUP DNC SCH GEO RUN","5000","0","0.0510814"
"aiming gloves","30","[Hands] All Races

LV 30 WAR RDM THF PLD DRK BST BRD RNG SAM NIN DRG BLU COR DNC RUN","15000","0","0"
"air rider","0","","2000","1","0.0132496"
"air rider x99","0","","30000","0","0.0652938"
"air solea","28","[Feet] All Races

LV 28 MNK WHM BLM RDM PLD BRD RNG SMN BLU PUP SCH GEO RUN","10000","0","0.22987"
"air solea +1","28","[Feet] All Races

LV 28 MNK WHM BLM RDM PLD BRD RNG SMN BLU PUP SCH GEO RUN","20000","0","0.0323361"
"Air Spirit pact","0","","10000","12","1.24859"
"Airborne","0","","3000","0","0.0123647"
"Airborne x99","0","","50000","0","0.0410583"
"airy buckler","71","[Sub] All Races

LV 71 THF PUP DNC","200000","0","0"
