"itemid","name","price01","stock01"
"3","Oak Bed","5000","2"
"5","Bronze Bed","63000","13"
"6","Noble's Bed","300000","16"
"2","Simple Bed","2000","0"
"4","Mahogany Bed","200000","25"
"8","Royal Bed","27055","2"
"21","Desk","3000","0"
"22","Workbench","20000","8"
"23","Maple Table","10000","5"
"26","Tarutaru Desk","6000","4"
"24","Oak Table","5000","2"
"29","Secretaire","3000","4"
"30","Bureau","10000","0"
"32","Dresser","50000","4"
"33","Millionaire Desk","100000","21"
"43","Wicker Box","3000","2"
"46","Armor Box","3000","6"
"49","Coffer","5000","0"
"51","Chest","4000","4"
"55","Cabinet","10000","10"
"56","Commode","10000","5"
"59","Chiffonier","2000","2"
"61","Armoire","10000","2"
"76","Royal Bookshelf","10000","2"
"77","Bookshelf","100000","6"
"87","Kadomatsu","5000","0"
"86","San d'Orian Tree","10000","0"
"90","Rusty Bucket","500","0"
"91","Blue Pitcher","3000","0"
"93","Water Cask","2000","3"
"92","Tarutaru Stool","5000","1"
"95","Water Barrel","10000","0"
"97","Book Holder","10000","4"
"96","Beverage Barrel","10000","2"
"98","Scimitar Cactus","10000","4"
"99","Elshimo Palm","20000","7"
"102","Flower Stand","10000","2"
"103","Goldfish Bowl","55000","0"
"104","Taru F. Screen","10000","3"
"107","Water Jug","1000","8"
"110","White Jar","10000","5"
"112","Yellow Jar","1000","1"
"113","Cleaning Tool Set","10000","4"
"115","Bastokan Tree","10000","0"
"116","Windurstian Tree","10000","0"
"120","F. Aquarium","20000","7"
"121","S. Aquarium","10000","1"
"122","Amir Bed","10000","8"
"123","Athenienne","10000","3"
"124","Wardrobe","10000","1"
"125","Reliquary","10000","8"
"126","Falsiam Vase","10000","3"
"127","Coffee Table","10000","5"
"128","Console","10000","5"
"130","Marble Bed","5000","1"
"132","Tableware Set","10000","4"
"133","Tea Set","10000","1"
"139","Star Globe","10000","0"
"143","Ngoma","10000","2"
"144","Caisson","5000","1"
"145","Thurible","160000","15"
"146","Walahra Burner","10000","0"
"147","Imperial Tapestry","10000","4"
"148","Cartonnier","50000","5"
"149","Alchemist's Tools","10000","3"
"150","Leather Pot","11111","2"
"185","Rook Banner","10000","4"
"186","Shield Plaque","10000","0"
"187","Buckler Plaque","10000","1"
"188","Acolyte's Grief","10000","6"
"189","Autumn's End","10000","5"
"195","The Big One","10000","0"
"200","Tsahyan Mask","10000","2"
"201","Totem Pole","10000","2"
"206","Ancient Blood","10000","1"
"207","Fire Lamp","5000","2"
"208","Ice Lamp","5000","0"
"209","Wind Lamp","5000","1"
"210","Earth Lamp","5000","0"
"211","Lightning Lamp","5000","4"
"212","Water Lamp","5000","1"
"214","Dark Lamp","5000","2"
"213","Light Lamp","10000","2"
"216","Porc. Flowerpot","10000","5"
"217","Brass Flowerpot","30000","4"
"218","Earthen Flowerpot","8000","4"
"220","Wooden Flowerpot","70000","8"
"221","Arcane Flowerpot","60000","8"
"219","Ceramic Flowerpot","10000","8"
"222","Fighting Fish Tank","70000","0"
"223","River Aquarium","12500","5"
"224","Bay Aquarium","10000","3"
"225","Reef Aquarium","10000","1"
"314","9-Drawer Almirah","70000","7"
"315","6-Drawer Almirah","20000","4"
"316","3-Drawer Almirah","10000","5"
"317","Bronze Rose","10000","2"
"318","Crystal Rose","20000","1"
"319","Shell Lamp","10000","2"
"321","Mythril Bell","5000","2"
"322","Horn Trophy","4000","1"
"326","Yellow Hobby Bo","10000","1"
"327","Red Hobby Bo","5000","0"
"328","Black Hobby Bo","10000","1"
"329","Blue Hobby Bo","8000","1"
"330","Green Hobby Bo","9500","2"
"331","Winged Altar","10000","1"
"332","Winged Plaque","10000","1"
"333","Winged Balance","10000","0"
"343","Harp Stool","20000","5"
"349","Ryl. Sqr. Bunk","10000","6"
"350","Rep. Lgn. Bedding","10000","6"
"351","Fed. Mrc. Hammock","5000","3"
"352","Half Partition","10000","2"
"353","Spence","10000","1"
"354","Bookstack","10000","0"
"355","Bread Crock","5000","1"
"357","Partition","10000","0"
"358","Credenza","10000","3"
"359","Bahut","10000","4"
"360","Matka","3000","2"
"361","Gallipot","10000","3"
"362","Fluoro-flora","10000","0"
"363","Amigo Cactus","8000","1"
"364","Amiga Cactus","10000","7"
"368","San. Tea Set","10000","0"
"369","Bas. Tea Set","10000","3"
"370","Win. Tea Set","10000","3"
"371","Butterfly Cage","10000","7"
"372","Cricket Cage","5000","7"
"373","Glowfly Cage","10000","3"
"374","Parclose","10000","0"
"378","Blue 9D Almirah","10000","0"
"379","Blue 6D Almirah","20000","5"
"380","Blue 3D Almirah","10000","0"
"381","Green 9D Almirah","20000","1"
"382","Green 6D Almirah","15000","3"
"383","Green 3D Almirah","10000","0"
"384","Yellow 9D Almirah","10000","1"
"385","Yellow 6D Almirah","10000","3"
"386","Yellow 3D Almirah","10000","1"
"388","White 6D Almirah","20000","5"
"389","White 3D Almirah","10000","1"
"387","White 9D Almirah","40000","4"
"390","Carmine Desk","10000","5"
"391","Cerulean Desk","20000","6"
"392","Myrtle Desk","10000","6"
"393","Ecru Desk","9500","6"
"394","B. Tarutaru Desk","10000","2"
"395","G. Tarutaru Desk","5000","4"
"396","Y. Tarutaru Desk","10000","2"
"397","W. Tarutaru Desk","10000","4"
"402","Blue Noble's Bed","5000","0"
"404","Yel. Noble's Bed","5000","0"
"403","Green Noble's Bed","5000","0"
"405","White Noble's Bed","10000","0"
"406","B. Tarutaru Screen","4000","0"
"407","G. Tarutaru Screen","5000","0"
"408","Y. Tarutaru Screen","5000","6"
"410","Red Round Table","2000","1"
"409","W. Tarutaru Screen","10000","4"
"411","Blue Round Table","10000","5"
"412","Green Rnd. Table","10000","3"
"413","Yellow Rnd. Table","9500","2"
"414","White Rnd. Table","10000","2"
"416","Tomeshelf","20000","0"
"417","Storage Hutch","5500","1"
"418","Tidings Board","10000","2"
"419","Leisure Table","300000","10"
"420","Meadsweet Pot","10000","3"
"421","R. Orchid Vase","10000","1"
"422","Elshimo Pachira","20000","1"
"423","Tavern Bench","5000","3"
"424","Feasting Table","10000","4"
"425","Girandola","10000","3"
"429","R. Storm Lantern","10000","1"
"430","B. Storm Lantern","10000","1"
"431","G. Storm Lantern","10000","2"
"432","Y. Storm Lantern","10000","5"
"433","W. Storm Lantern","10000","6"
"440","Squat Desk","10000","1"
"445","Vaisselier Royale","10000","7"
"450","Candelabrum","10000","2"
"459","Candle Holder","10000","1"
"460","Bakery Platter","10000","5"
"472","Bkn. S.H. Rod","1000","2"
"473","Broken Comp. Rod","1000","3"
"483","Bkn. Mithran Rod","4000","1"
"482","Bkn. Clothespole","1000","2"
"484","Bkn. Taru. Rod","1000","1"
"486","Bkn. Yew Rod","1000","0"
"487","Bkn. Bamboo Rod","200","0"
"485","Bkn. Willow Rod","1000","1"
"488","Bkn. Fast. Rod","1000","4"
"489","Bkn. Lu Rod","940000","7"
"490","Bkn. Carbon Rod","1000","1"
"492","Drachenfall Water","1500","2"
"491","Bkn. Glass Rod","1000","1"
"493","Brass Canteen","1238652","3"
"533","Derfland Humus","10000","8"
"536","Adventurer Cpn.","555","26"
"544","Test Answers","10000","13"
"546","Starfall Tear","55000","3"
"548","Tenshodo Invite","42500","19"
"551","Bruised Starfruit","5000","4"
"550","Steam Clock","1000","2"
"597","Mine Gravel","30000","4"
"606","Fetich Head","100000","53"
"607","Fetich Torso","100000","19"
"608","Fetich Arms","100000","8"
"609","Fetich Legs","100000","7"
"613","Faded Crystal","5000","5"
"687","Scarletite Ingot","300000","80"
"733","Kapor Lumber","10000","3"
"734","Thokcha Ore","1000","2"
"735","Thokcha Ingot","10000","17"
"741","P. Brass Ore","50000","5"
"742","P. Brass Ingot","150000","30"
"755","P. Brass Sheet","20000","4"
"765","P. Brass Chain","700000","14"
"766","Ormolu Ingot","30000","22"
"905","Wyvern Skull","10000","9"
"907","Cold Bone","9000","0"
"960","Ace of Cups","10000","2"
"961","Two of Cups","7000","4"
"962","Three of Cups","55000","4"
"963","Four of Cups","1000","1"
"964","Five of Cups","1000","2"
"965","Six of Cups","1000","2"
"966","Seven of Cups","1000","1"
"967","Eight of Cups","159962204","0"
"968","Nine of Cups","1000","1"
"969","Ten of Cups","3000","1"
"970","Jack of Cups","1000","1"
"971","Queen of Cups","500000000","1"
"972","King of Cups","10000","3"
"973","Ace of Batons","10000","2"
"974","Two of Batons","900000001","0"
"975","Three of Batons","1000","1"
"976","Four of Batons","924500000","0"
"977","Five of Batons","1000","3"
"978","Six of Batons","1000","1"
"979","Seven of Batons","992000000","1"
"980","Eight of Batons","1000","0"
"981","Nine of Batons","1000","0"
"982","Ten of Batons","1000","1"
"983","Jack of Batons","1000","2"
"984","Queen of Batons","1000","1"
"985","King of Batons","1000","2"
"986","Ace of Swords","1000","2"
"987","Two of Swords","1000","3"
"988","Three of Swords","1000","1"
"989","Four of Swords","1000","0"
"990","Five of Swords","1000","1"
"991","Six of Swords","992000010","1"
"992","Seven of Swords","1000","0"
"993","Eight of Swords","1000","2"
"994","Nine of Swords","1000","0"
"995","Ten of Swords","1000","4"
"996","Jack of Swords","1000","2"
"997","Queen of Swords","1000","1"
"998","King of Swords","1000","3"
"999","Ace of Coins","1000","2"
"1000","Two of Coins","1000","0"
"1001","Three of Coins","1000","1"
"1002","Four of Coins","1000","2"
"1003","Five of Coins","1000","1"
"1004","Six of Coins","1000","0"
"1005","Seven of Coins","1000","1"
"1006","Eight of Coins","1000","0"
"1007","Nine of Coins","1000","2"
"1008","Ten of Coins","10000","5"
"1009","Jack of Coins","1000","2"
"1010","Queen of Coins","1000","2"
"1011","King of Coins","1000","1"
